"","X1","carat","cut","cut_ord","color","clarity","clarity_ord","predicted_price"
"1",1,1.22,"Premium",4,"G","SI1",3,6963.06774
"2",2,1.01,"Good",2,"G","VS2",5,5801.59617
"3",3,0.71,"Very Good",3,"I","VS2",5,3452.95007
"4",4,1.01,"Ideal",5,"D","SI2",2,4909.32717
"5",5,0.27,"Ideal",5,"H","VVS2",6,551.60659
"6",6,0.52,"Premium",4,"G","VS1",4,1566.47784
"7",7,1.01,"Premium",4,"F","SI1",3,5206.75017
"8",8,0.59,"Ideal",5,"D","SI1",3,1854.49403
"9",9,1.01,"Good",2,"E","SI1",3,4885.99217
"10",10,2.03,"Ideal",5,"F","SI2",2,13440.01251
"11",11,1.35,"Premium",4,"H","VS2",5,8965.91595
"12",12,0.74,"Ideal",5,"G","SI1",3,3109.00658
"13",13,0.9,"Premium",4,"D","SI1",3,4286.7743
"14",14,0.3,"Good",2,"G","VS2",5,-136.4299
"15",15,1.01,"Good",2,"F","VS2",5,5801.59617
"16",16,1.02,"Good",2,"H","SI2",2,4511.82434
"17",17,2.05,"Premium",4,"G","SI1",3,13904.70385
"18",18,0.54,"Ideal",5,"I","SI1",3,1436.32318
"19",19,0.72,"Ideal",5,"G","VS2",5,3857.34224
"20",20,2,"Premium",4,"J","SI2",2,13028.731
"21",21,1.57,"Premium",4,"G","SI2",2,9432.46169
"22",22,0.89,"Premium",4,"G","SI1",3,4203.14013
"23",23,0.33,"Premium",4,"I","VVS2",6,893.03261
"24",24,0.3,"Very Good",3,"G","IF",8,1397.3551
"25",25,1.79,"Very Good",3,"I","VS2",5,12485.44043
"26",26,1.11,"Ideal",5,"E","SI2",2,5745.66887
"27",27,0.79,"Premium",4,"F","SI1",3,3366.79843
"28",28,0.71,"Very Good",3,"F","SI1",3,2537.34607
"29",29,0.73,"Ideal",5,"G","SI1",3,3025.37241
"30",30,0.9,"Very Good",3,"G","VS2",5,5041.9993
"31",31,1.31,"Good",2,"I","VS1",4,7852.81927
"32",32,1.01,"Ideal",5,"F","SI2",2,4909.32717
"33",33,0.35,"Premium",4,"D","SI1",3,-313.10505
"34",34,0.41,"Premium",4,"G","VS2",5,1104.30397
"35",35,0.32,"Premium",4,"E","VS2",5,351.59644
"36",36,0.38,"Ideal",5,"D","VS1",4,555.97846
"37",37,1.21,"Premium",4,"I","SI2",2,6421.63157
"38",38,1,"Premium",4,"F","SI1",3,5123.116
"39",39,0.56,"Ideal",5,"H","VS2",5,2519.19552
"40",40,1,"Good",2,"J","SI1",3,4802.358
"41",41,0.32,"Premium",4,"H","VVS1",7,1267.20044
"42",42,1.7,"Ideal",5,"D","SI1",3,11137.8869
"43",43,2.26,"Very Good",3,"D","SI2",2,15042.84042
"44",44,0.32,"Premium",4,"D","VS2",5,351.59644
"45",45,0.4,"Very Good",3,"F","VVS1",7,1775.8948
"46",46,2.13,"Very Good",3,"G","SI2",2,13955.59621
"47",47,0.7,"Premium",4,"G","VS2",5,3529.6949
"48",48,2.01,"Premium",4,"H","SI1",3,13570.16717
"49",49,1.15,"Premium",4,"G","SI1",3,6377.62855
"50",50,0.71,"Ideal",5,"E","VS1",4,3315.90607
"51",51,1.35,"Premium",4,"G","VVS2",6,9423.71795
"52",52,0.51,"Ideal",5,"F","SI1",3,1185.42067
"53",53,0.34,"Ideal",5,"D","IF",8,2052.64978
"54",54,1.58,"Ideal",5,"G","VS1",4,10592.07886
"55",55,2.05,"Good",2,"G","SI2",2,13126.14385
"56",56,0.41,"Ideal",5,"H","VS1",4,806.88097
"57",57,0.6,"Fair",1,"F","SI1",3,1296.6122
"58",58,0.31,"Ideal",5,"H","IF",8,1801.74727
"59",59,0.64,"Very Good",3,"D","SI1",3,1951.90688
"60",60,0.71,"Premium",4,"J","SI1",3,2697.72507
"61",61,0.55,"Ideal",5,"F","VS2",5,2435.56135
"62",62,1.26,"Very Good",3,"G","VVS2",6,8510.63142
"63",63,1.03,"Premium",4,"G","VS1",4,5831.82051
"64",64,1.01,"Premium",4,"H","SI2",2,4748.94817
"65",65,0.25,"Very Good",3,"E","VVS2",6,63.5802499999998
"66",66,0.9,"Premium",4,"H","SI1",3,4286.7743
"67",67,0.45,"Premium",4,"D","VS1",4,981.03865
"68",68,0.3,"Ideal",5,"F","IF",8,1718.1131
"69",69,0.9,"Good",2,"D","SI2",2,3508.2143
"70",70,0.8,"Very Good",3,"F","VS2",5,4205.6576
"71",71,0.33,"Premium",4,"G","VS1",4,-22.5713900000002
"72",72,0.71,"Ideal",5,"G","SI1",3,2858.10407
"73",73,0.7,"Premium",4,"D","SI1",3,2614.0909
"74",74,0.78,"Ideal",5,"H","SI2",2,2985.74126
"75",75,0.7,"Very Good",3,"F","SI2",2,1995.9099
"76",76,0.38,"Ideal",5,"F","VVS2",6,1471.58246
